student_name,branch,year,cgpa,coding_skills,dsa_score,ml_knowledge,frontend_skill,backend_skill,database_skill,cloud_computing,devops_skill,cybersecurity_skill,embedded_c,microcontrollers,arduino_skill,raspberry_pi_skill,rtos_knowledge,embedded_linux,firmware_development,device_drivers,digital_electronics,analog_electronics,pcb_design,circuit_design,vlsi_knowledge,verilog_vhdl,fpga_skill,iot_knowledge,sensor_integration,wireless_protocols,mqtt_protocol,edge_computing,robotics_skill,computer_vision,control_systems,ros_knowledge,communication_skills,leadership_score,problem_solving,teamwork_score,presentation_skill,innovation_score,projects_count,internships,preferred_role
Anika D. Sheikh,ECE,4,7.28,91,4,29,30,56,42,37,27,14,79,46,65,18,45,17,19,6,30,35,16,33,4,40,20,51,52,27,24,19,70,76,79,97,46,50,18,32,33,26,7,2,Robotics Engineer
Eesha M. Subramanian,EEE,3,7.51,79,10,49,0,13,43,20,9,33,68,70,52,15,50,71,55,61,59,33,46,57,16,22,31,25,16,0,29,18,14,17,39,41,59,69,11,62,44,19,4,1,Embedded Engineer
Shruthi L. Arora,AI&DS,3,7.04,86,66,47,25,91,54,78,45,73,20,26,37,16,25,29,47,9,39,1,10,9,29,7,20,37,33,23,16,29,10,17,25,7,45,54,61,89,12,31,7,1,Backend Developer
Navya Y. Gupta,EEE,2,7.62,59,27,49,13,0,34,28,54,16,83,67,35,44,0,57,0,0,43,28,5,12,41,46,17,69,63,61,53,38,16,10,32,41,61,4,41,65,54,57,5,2,IoT Engineer
Vaishnavi V. Dutta,Data Science,4,7.53,89,18,36,23,20,3,43,37,9,51,14,18,14,0,41,12,53,76,63,67,73,74,81,74,29,36,21,21,0,40,39,48,30,69,42,22,66,25,7,6,2,VLSI Engineer
Jai A. Arora,Civil,4,6.65,77,9,16,15,21,18,37,16,24,81,82,54,26,55,70,52,78,59,82,49,72,50,42,0,14,11,34,35,28,0,32,0,23,61,78,26,52,38,13,7,2,Embedded Engineer
Diya T. Krishnamurthy,AI,2,6.9,77,15,20,19,2,46,21,8,15,81,60,19,25,21,17,18,10,24,20,0,17,26,14,28,83,40,15,0,22,82,97,60,57,67,52,53,51,28,38,3,2,Robotics Engineer
Sanjana M. Subramanian,CSBS,2,6.99,100,90,84,29,44,94,67,45,1,35,40,11,23,1,8,12,33,11,20,26,0,47,13,31,19,25,15,15,33,34,70,52,13,65,70,85,75,5,37,7,1,ML Engineer
Vaishnavi V. Murthy,AI,2,6.79,66,58,90,39,20,75,72,32,37,0,33,25,37,0,36,55,24,7,27,23,20,46,30,2,40,40,0,28,30,39,80,14,0,49,24,57,42,43,20,7,1,ML Engineer
Vishal P. Gadde,Civil,2,6.95,72,1,31,0,28,4,7,36,20,67,61,49,45,53,61,75,72,50,35,49,55,20,0,17,27,17,23,0,23,32,40,13,16,34,42,35,45,30,25,6,1,Embedded Engineer
Madhav R. Das,CSE,4,7.08,67,51,39,14,21,43,31,41,38,58,78,47,32,42,44,59,73,64,60,59,70,27,36,32,29,1,0,18,0,28,11,38,19,41,49,63,53,32,60,5,2,Embedded Engineer
Nikhil M. Iyengar,Mechanical,4,7.37,66,34,20,19,24,29,14,32,51,73,55,52,27,58,63,55,74,62,32,44,65,33,8,24,38,12,28,19,13,14,25,33,13,34,48,26,60,0,41,6,4,Embedded Engineer
Anika A. Iyer,CSBS,4,7.27,70,2,13,50,67,57,76,77,38,15,22,25,2,25,39,34,43,34,16,46,10,12,14,28,32,25,17,0,29,13,32,46,29,58,79,11,83,44,21,6,3,Cloud Engineer
Samarth G. Iyengar,IT,3,6.54,77,55,85,21,23,89,55,15,34,40,20,8,37,23,22,46,1,8,38,10,34,41,0,24,15,1,16,20,10,14,55,34,0,48,61,37,60,52,24,6,2,ML Engineer
Tejaswini D. Arora,AI,4,7.33,78,53,53,0,15,61,58,30,8,21,34,2,32,14,0,4,12,17,49,31,22,23,54,38,23,8,14,22,36,0,59,30,4,53,76,56,35,35,11,8,3,ML Engineer
Samarth A. Kulkarni,Civil,1,6.77,63,65,18,43,68,82,36,23,17,15,24,20,17,3,15,47,7,34,28,0,27,0,37,0,31,32,0,0,34,4,20,15,12,47,32,57,49,21,29,3,0,Full Stack Developer
Sahana M. Dutta,AI&DS,3,7.13,60,33,34,22,63,31,93,84,59,18,21,43,18,28,30,38,0,12,27,20,18,29,34,6,0,30,29,14,31,41,37,31,46,21,71,39,62,1,28,5,1,Cloud Engineer
Ishaan K. Khan,Civil,4,6.93,73,71,12,67,58,52,40,63,30,3,18,25,0,7,10,5,23,33,18,13,21,41,26,8,0,14,6,12,20,18,36,20,31,76,74,66,78,32,30,7,2,Full Stack Developer
Raghav Y. Malhotra,AI&DS,3,7.18,82,76,28,84,88,82,66,56,45,10,0,27,22,25,6,28,53,13,49,39,23,40,22,13,2,34,54,25,41,21,5,48,11,78,65,71,77,32,52,4,1,Full Stack Developer
Keerthana C. Krishnamurthy,ECE,3,7.16,79,90,58,28,36,58,46,7,36,18,11,38,34,29,0,11,12,20,0,39,14,7,16,3,35,34,31,42,19,0,80,31,18,48,56,61,94,11,25,4,2,ML Engineer
Yuvan L. Koppula,AI&DS,2,7.45,74,43,20,5,93,53,71,81,60,22,43,17,33,49,44,32,20,22,25,39,35,42,8,34,32,20,28,4,0,40,19,21,35,57,54,55,52,29,43,6,3,Cloud Engineer
Harish P. Satyanarayana,Civil,2,7.38,58,20,33,53,29,31,15,30,0,64,54,35,0,36,63,46,86,64,65,34,53,36,44,37,59,34,19,15,0,0,11,23,29,41,68,8,43,16,0,7,3,Embedded Engineer
Diya K. Kulkarni,EEE,1,7.28,57,17,19,17,33,29,19,44,8,61,76,60,38,0,73,31,21,16,30,4,20,4,7,14,86,59,71,76,9,37,47,25,33,55,48,11,76,11,32,5,2,IoT Engineer
Aakash J. Hegde,Data Science,3,7.43,64,79,73,34,15,71,39,36,12,25,31,27,30,29,1,55,20,35,35,25,20,1,29,23,0,25,13,37,23,50,91,20,27,48,47,50,76,27,19,8,3,ML Engineer
Aditi L. Gupta,EEE,4,7.54,86,7,18,22,12,11,0,24,27,73,55,50,37,0,34,21,8,12,34,7,40,26,25,27,50,47,26,41,43,78,95,76,82,44,74,30,61,5,30,6,2,Robotics Engineer
Kritika D. Satyanarayana,CSBS,4,6.31,58,52,15,36,65,60,55,75,44,33,18,13,30,20,1,4,31,29,6,24,39,22,30,23,32,4,3,12,7,13,21,2,7,46,25,60,60,23,31,6,2,Cloud Engineer
Pooja V. Desai,IT,3,7.03,80,17,42,30,11,20,24,21,21,86,62,60,32,11,28,24,23,2,20,23,24,47,27,0,64,72,19,29,50,80,56,59,76,55,72,20,69,21,23,8,1,Robotics Engineer
Sagar U. Shetty,ECE,3,7.07,93,29,28,23,20,0,41,27,25,28,36,0,41,24,18,0,56,78,75,55,62,71,45,68,28,23,9,10,21,0,0,28,12,50,57,25,60,52,11,5,3,VLSI Engineer
Tejas S. Chowdary,AI,2,7.34,74,92,22,51,50,64,38,63,21,40,1,41,29,27,41,0,38,44,28,36,0,19,27,8,0,27,20,13,10,10,36,29,16,100,64,71,86,33,48,4,0,Full Stack Developer
Ananya L. Kapoor,AI,2,6.06,96,14,0,41,64,41,76,76,32,31,29,24,31,0,10,39,21,27,0,14,8,43,9,29,34,41,7,34,0,17,4,13,32,65,69,33,65,38,17,5,2,Cloud Engineer
Samarth G. Naidu,Civil,4,7.76,65,20,38,39,43,5,31,0,35,96,32,57,29,19,25,23,29,4,17,58,20,28,43,7,51,34,0,25,25,68,71,45,79,60,91,32,66,32,25,7,4,Robotics Engineer
Suraj D. Rao,AI,2,7.31,76,36,18,25,64,63,80,87,25,58,35,0,35,0,24,47,17,20,10,21,3,25,22,18,29,21,46,39,15,25,33,17,0,6,47,20,76,24,6,4,2,Cloud Engineer
Uday D. Koppula,Civil,4,7.56,80,23,38,3,69,16,26,6,42,70,30,48,6,51,67,77,68,72,63,39,71,14,31,23,15,23,14,21,27,29,32,49,31,53,100,41,53,25,39,8,3,Embedded Engineer
Priya M. Srinivasan,AI,2,6.83,51,28,19,0,24,29,32,22,26,83,62,57,22,28,0,0,13,10,2,32,13,18,31,39,40,56,15,7,0,42,58,59,54,28,39,36,55,13,31,6,1,Robotics Engineer
Sachin D. Ahmed,Civil,3,7.15,79,12,0,14,46,24,20,23,3,72,23,7,21,9,22,12,74,76,55,16,74,55,93,84,12,25,13,51,22,33,6,35,12,35,75,30,59,27,27,7,2,VLSI Engineer
Pooja B. Raju,CSE,2,6.51,49,5,27,1,70,54,55,68,45,25,3,9,32,37,0,4,23,23,13,26,0,0,13,31,0,36,7,0,8,0,32,31,2,69,47,0,58,34,24,4,1,Cloud Engineer
Tarun R. Ahmed,EEE,4,7.1,72,64,83,31,30,64,49,49,46,39,39,19,52,8,21,0,37,14,22,48,17,0,8,42,21,11,33,3,27,46,82,24,19,1,53,60,49,0,18,7,3,ML Engineer
Anirudh L. More,CSE,2,6.52,71,82,65,34,0,92,50,30,41,8,14,34,18,53,20,17,31,17,7,23,11,13,27,12,63,14,5,35,4,37,82,22,42,59,100,58,58,40,48,4,2,ML Engineer
Lakshya S. Krishnamurthy,Data Science,4,7.3,74,69,68,21,34,63,59,23,8,28,19,21,20,26,0,0,8,29,43,13,8,7,20,4,9,22,23,15,7,48,90,12,16,46,46,56,23,13,30,5,2,ML Engineer
Hrithik T. Atluri,Data Science,4,7.42,65,70,42,7,13,81,31,0,0,41,10,29,19,32,27,0,4,2,23,17,22,19,21,26,13,8,24,28,26,33,75,27,18,49,76,73,57,20,31,8,2,ML Engineer
Aryan P. Bhat,CSE,2,6.97,80,69,5,82,55,59,52,71,42,10,24,25,37,23,11,0,41,0,32,21,40,3,15,20,15,49,57,4,30,6,1,34,0,60,37,53,68,45,16,6,0,Full Stack Developer
Pallavi A. Gupta,Mechanical,4,6.96,94,2,10,14,30,27,48,16,37,72,41,49,32,11,26,33,0,7,26,1,31,22,33,0,69,73,0,38,37,83,65,63,60,49,91,17,81,30,39,6,2,Robotics Engineer
Meera C. Qureshi,Mechanical,2,6.93,58,19,34,22,28,7,21,15,47,67,56,21,2,32,23,28,23,51,20,3,34,31,16,0,42,55,18,32,4,83,71,77,36,83,33,10,45,38,15,4,2,Robotics Engineer
Jai H. Sheikh,AI,4,6.45,62,52,100,40,21,80,65,43,29,0,32,26,22,29,26,1,14,17,10,0,19,43,7,37,25,32,13,29,21,27,76,16,45,78,55,57,87,63,40,7,1,ML Engineer
Ananya J. Nambiar,Data Science,4,6.63,52,13,12,46,90,48,77,69,40,23,40,16,0,10,11,30,6,26,49,21,28,42,18,33,32,14,30,26,6,47,16,36,4,73,63,30,75,65,23,9,2,Cloud Engineer
Tarun A. Sen,Mechanical,1,6.87,71,7,0,46,4,1,5,18,5,65,68,86,11,50,32,66,91,59,46,79,95,10,18,21,22,6,25,35,10,31,36,11,0,40,54,5,69,47,28,2,2,Embedded Engineer
Diya R. Atluri,IT,4,7.13,80,34,11,28,33,27,12,5,0,60,24,25,0,39,35,19,36,78,68,44,75,78,90,72,35,32,20,25,35,0,18,68,20,35,84,27,58,22,27,8,3,VLSI Engineer
Ananya T. Hegde,Data Science,3,7.01,68,75,87,13,19,100,40,26,16,19,21,25,11,31,17,27,2,24,20,36,40,12,25,2,28,17,0,10,42,17,68,36,12,68,76,44,70,45,41,6,2,ML Engineer
Sneha U. Saha,ECE,4,7.37,72,15,68,32,0,48,24,30,15,42,24,10,11,11,0,30,51,61,69,45,75,96,76,70,16,12,33,41,14,16,26,25,19,28,66,15,77,12,9,7,3,VLSI Engineer
Shreya J. Chowdary,EEE,4,7.17,72,17,11,43,0,33,4,35,19,79,63,54,0,54,39,61,67,89,56,60,81,25,20,25,26,7,49,17,0,13,27,20,13,66,71,19,69,61,22,7,1,Embedded Engineer
Ananya K. Satyanarayana,CSE,1,7.53,86,70,26,84,63,74,48,68,50,33,42,17,19,13,28,30,37,37,43,38,11,42,5,30,41,9,23,0,26,28,24,14,28,75,63,84,44,57,53,3,0,Full Stack Developer
Sagar V. Patil,Mechanical,1,6.8,73,67,45,20,65,86,36,27,74,32,12,23,16,17,42,37,17,39,0,35,25,33,12,27,37,1,9,21,23,29,3,1,0,62,70,58,91,29,35,3,1,Cybersecurity Analyst
Sanjana P. Pawar,AI&DS,2,6.47,72,77,19,33,81,54,41,40,65,42,29,17,14,5,3,25,32,4,44,10,46,39,32,26,13,3,21,13,0,19,58,8,0,39,53,75,95,4,29,3,0,Cybersecurity Analyst
Pranavi L. Pillai,Mechanical,2,6.88,59,4,13,15,28,26,11,28,2,79,78,59,66,23,58,29,22,60,10,6,6,0,36,22,68,74,79,77,67,0,31,54,23,52,69,26,58,10,47,4,2,IoT Engineer
Ishaan K. Shetty,ECE,4,7.13,85,61,15,47,59,73,49,54,10,28,26,24,16,14,43,22,30,0,33,27,35,31,21,25,22,26,31,1,40,37,14,21,15,77,42,52,90,31,43,7,2,Full Stack Developer
Yash L. Patel,Mechanical,2,7.2,92,18,14,1,28,11,0,26,22,77,17,19,18,36,19,7,54,81,68,66,74,86,78,81,26,24,46,29,17,11,1,53,20,45,71,30,95,5,19,4,2,VLSI Engineer
Neha M. Reddy,Civil,4,7.69,71,4,5,10,33,11,23,8,12,77,47,48,14,13,47,9,18,14,19,54,8,32,42,7,57,70,23,18,18,77,79,87,46,63,71,27,61,67,32,7,2,Robotics Engineer
Kiara V. Ahmed,AI,1,6.47,81,19,12,2,30,0,40,42,50,49,6,0,9,58,6,29,53,68,62,63,59,75,81,84,31,18,12,59,28,35,44,83,21,51,57,24,73,31,10,3,0,VLSI Engineer
Lasya V. Varma,ECE,4,6.95,75,24,15,26,4,28,14,24,6,71,9,24,17,22,30,24,58,74,96,59,88,93,77,86,22,31,24,9,5,19,11,51,24,69,53,24,83,34,23,7,3,VLSI Engineer
Hrithik G. Paul,CSE,3,6.95,79,54,1,90,58,85,52,49,28,0,0,21,38,0,5,15,23,9,6,37,38,19,25,26,28,31,41,43,25,13,48,38,55,98,27,60,79,58,44,5,2,Full Stack Developer
Varun J. Sethi,Mechanical,4,7.1,58,25,27,12,24,5,34,26,28,69,49,45,3,7,23,35,46,0,0,20,1,19,30,13,44,33,27,11,7,59,61,65,54,69,68,34,71,55,53,7,1,Robotics Engineer
Rahul V. Patil,Data Science,1,6.95,71,67,0,36,68,35,30,32,70,19,34,10,22,7,16,0,26,21,17,5,20,29,18,0,31,9,22,0,18,42,14,35,7,59,65,54,71,29,26,3,2,Cybersecurity Analyst
Hrithik G. Subramanian,IT,3,7.09,95,27,11,22,79,67,62,55,31,10,14,20,34,28,26,18,54,22,57,28,6,32,45,22,16,1,21,44,16,16,20,30,8,30,53,31,83,23,29,4,2,Cloud Engineer
Sandeep R. Pillai,ECE,2,7.67,57,19,17,17,49,4,28,21,38,55,86,49,60,27,53,30,21,10,1,28,15,7,0,8,69,95,56,50,66,26,20,45,0,92,66,27,46,75,18,3,2,IoT Engineer
Eesha A. Chakraborty,Civil,1,6.45,72,33,3,64,10,30,49,0,40,74,74,48,9,36,57,68,75,72,88,56,83,40,24,3,24,9,58,32,42,39,7,5,37,56,45,30,56,47,23,4,0,Embedded Engineer
Tejaswini T. Kulkarni,AI,4,6.78,82,11,13,18,63,76,80,76,71,47,18,14,17,12,22,30,14,37,20,12,1,0,31,11,5,0,13,41,33,0,13,58,23,57,71,31,70,8,30,7,1,Cloud Engineer
Vishal P. Naidu,CSBS,3,7.06,71,15,21,9,38,0,34,30,6,66,28,48,23,0,1,11,26,76,68,40,78,64,80,76,35,0,16,0,26,57,23,67,27,41,34,9,38,5,11,5,1,VLSI Engineer
Ishita V. Iyengar,ECE,2,6.53,93,77,31,15,75,83,58,50,51,23,22,0,30,29,55,15,10,32,9,31,52,21,21,0,17,28,30,24,38,28,29,42,27,86,50,71,68,42,46,6,2,Backend Developer
Uday R. Khanna,Mechanical,1,6.65,73,40,40,27,19,34,19,31,33,49,59,61,14,32,0,26,51,6,0,3,23,13,45,0,39,52,24,23,56,63,77,65,56,64,71,34,100,29,45,4,1,Robotics Engineer
Divya H. Chatterjee,CSBS,1,6.78,81,62,28,56,78,71,59,34,31,10,11,34,1,26,2,16,0,16,49,33,7,47,22,36,0,0,31,26,47,1,26,28,24,39,100,55,69,9,38,2,1,Full Stack Developer
Siddharth M. Raju,CSE,4,7.84,100,28,20,19,30,25,36,25,23,85,75,68,60,30,71,42,17,9,11,45,11,0,4,39,79,93,73,78,46,31,13,26,34,60,67,49,59,47,58,8,3,IoT Engineer
Kiara H. Iyengar,AI&DS,2,7.02,63,6,61,26,72,34,70,54,49,13,16,19,44,12,30,33,13,20,27,17,30,36,26,8,0,0,48,39,3,39,10,38,36,33,43,28,61,17,23,4,1,Cloud Engineer
Ananya J. Gupta,Civil,2,6.47,87,25,0,16,19,35,0,26,17,41,2,51,27,8,19,25,65,56,61,36,88,80,73,100,8,32,12,10,10,0,24,70,30,30,59,38,52,12,56,4,0,VLSI Engineer
Radhika K. Sharma,CSBS,3,7.37,80,92,28,14,67,72,79,53,27,7,9,24,45,30,0,10,8,7,25,28,31,21,19,4,32,1,44,41,17,34,24,47,0,99,96,74,74,57,34,6,2,Backend Developer
Madhuri R. Bose,EEE,1,6.55,40,7,52,39,25,13,44,0,48,57,61,59,19,44,43,17,24,22,19,35,5,23,2,14,71,51,49,74,35,0,19,40,6,73,42,25,51,33,35,2,0,IoT Engineer
Meghana S. Naik,Mechanical,2,7.38,93,19,16,0,31,18,33,32,36,79,89,52,30,47,61,58,76,80,64,59,77,17,28,26,28,23,15,23,25,13,10,39,19,47,50,30,50,53,22,5,1,Embedded Engineer
Sagar R. Paul,AI&DS,2,6.78,67,38,12,44,67,68,88,72,57,23,11,0,7,35,0,25,0,22,10,30,0,24,18,23,25,35,7,18,22,38,16,40,2,91,100,37,62,52,20,4,0,Cloud Engineer
Niharika H. Murthy,IT,1,6.32,71,73,2,50,70,58,66,72,48,23,18,12,37,13,18,29,0,21,6,29,31,0,40,31,33,10,23,8,10,17,36,19,26,65,72,53,63,32,18,3,1,Backend Developer
Charitha K. Das,Civil,4,7.36,88,37,17,21,40,7,30,39,46,65,74,54,19,45,80,70,87,61,21,50,41,27,41,0,14,19,11,28,2,30,19,8,0,60,51,26,100,49,30,5,2,Embedded Engineer
Aparna K. Khan,IT,3,6.73,76,61,24,20,38,68,48,45,47,0,7,0,7,15,10,28,31,29,0,0,35,33,28,41,24,21,34,36,23,12,0,42,24,61,46,64,66,28,39,7,2,Backend Developer
Radhika L. Iqbal,Mechanical,1,6.65,79,23,15,31,10,4,25,0,8,35,44,32,12,60,0,8,36,51,57,47,63,63,79,63,27,35,40,32,25,11,34,24,26,70,44,31,67,41,34,5,0,VLSI Engineer
Neha S. Hegde,Mechanical,3,7.13,82,72,40,90,83,80,55,33,8,10,34,28,32,0,24,17,30,7,31,15,0,26,14,20,31,28,26,26,24,31,25,56,27,59,100,57,61,37,21,8,1,Full Stack Developer
Anjali V. Sharma,IT,2,6.66,77,61,0,82,72,93,52,50,43,12,12,8,29,15,24,0,23,5,11,15,6,29,20,0,8,25,22,31,14,38,12,0,25,27,76,52,85,28,45,5,0,Full Stack Developer
Saiya A. Raju,EEE,3,7.51,64,59,49,4,6,34,7,18,24,25,25,26,23,9,28,6,48,63,69,41,57,80,72,85,31,17,8,37,39,29,7,60,14,45,55,57,91,40,31,5,1,VLSI Engineer
Siddharth G. Ansari,CSBS,2,6.61,46,57,21,25,80,29,35,37,79,17,27,0,12,7,31,0,4,30,9,4,27,44,5,10,33,21,0,19,21,42,26,28,13,61,22,54,70,10,13,7,1,Backend Developer
Yash S. Das,CSBS,3,6.54,48,58,18,67,53,97,27,48,37,7,27,2,22,12,1,32,28,23,13,19,32,64,36,31,8,6,44,0,0,29,2,26,34,77,54,42,66,73,19,5,2,Full Stack Developer
Samarth V. Kapoor,Data Science,4,6.68,70,95,35,0,81,77,55,75,44,8,37,24,39,0,4,43,28,28,33,36,2,32,29,17,17,48,5,40,22,32,24,39,37,49,53,69,59,35,40,8,3,Cybersecurity Analyst
Sai D. Sheikh,ECE,3,7.09,84,95,34,79,96,72,51,68,36,12,26,16,40,14,42,23,28,0,20,43,35,4,45,6,4,28,19,9,26,38,44,0,34,57,82,73,74,25,47,6,2,Full Stack Developer
Anjali B. Subramanian,ECE,3,6.53,78,75,2,11,63,66,64,61,45,15,39,8,11,27,12,0,20,38,0,29,31,27,0,21,15,30,0,42,29,11,18,15,29,69,45,67,49,43,44,6,1,Backend Developer
Tarun K. Roy,CSE,2,6.45,49,83,39,64,74,73,58,61,22,17,10,16,63,49,19,32,29,5,36,11,12,21,22,38,17,50,22,3,0,19,35,35,18,73,48,62,85,58,40,3,1,Full Stack Developer
Ishita R. Krishnan,Civil,2,6.89,64,35,17,12,38,24,24,30,29,73,75,52,10,29,49,74,65,77,80,23,94,43,35,31,49,32,11,26,19,13,22,0,32,50,64,39,79,26,30,4,0,Embedded Engineer
Dev R. Patil,EEE,3,7.58,46,35,25,18,25,17,14,35,32,65,18,35,46,12,0,2,47,93,74,67,100,90,85,79,51,25,16,40,25,28,2,34,26,69,50,30,63,42,49,6,2,VLSI Engineer
Vihaan V. Rao,Civil,4,6.57,65,73,90,0,20,60,57,54,37,27,10,9,11,14,40,47,3,25,9,34,30,9,21,8,34,0,40,12,0,28,82,14,44,33,68,53,57,29,44,7,3,ML Engineer
Yash P. Saha,CSE,1,6.76,65,62,23,79,89,60,49,58,16,19,39,38,23,18,7,13,19,36,11,38,27,9,28,30,57,54,48,40,19,11,45,25,58,62,77,51,39,29,32,3,2,Full Stack Developer
Nandini A. Iqbal,AI,4,6.71,95,74,87,26,20,67,66,16,29,38,18,18,35,33,25,19,19,13,14,29,11,16,39,36,29,21,35,7,0,0,83,31,2,67,100,65,90,47,32,7,2,ML Engineer
Aparna Y. Chakraborty,Civil,2,6.84,65,6,32,8,29,23,6,20,40,69,42,3,31,48,19,22,69,88,79,45,83,79,53,78,41,32,23,17,9,7,43,66,15,61,62,20,68,43,19,4,0,VLSI Engineer
Aryan B. Subramanian,AI,2,6.95,86,67,39,21,62,98,58,52,52,44,6,32,26,32,30,27,39,14,0,0,31,46,52,15,31,19,37,24,17,53,24,10,42,60,51,53,81,2,1,4,2,Backend Developer
Pranav M. Iyengar,CSE,3,6.83,40,65,26,63,66,49,48,17,5,14,10,16,31,12,26,3,29,6,3,13,15,25,35,30,9,14,0,3,20,0,0,8,30,77,66,54,73,33,5,5,1,Full Stack Developer
Vihaan V. Hegde,AI,2,7.13,77,0,29,26,29,29,18,32,46,49,62,39,19,37,30,66,82,69,81,44,68,74,60,80,34,43,33,40,23,27,42,51,28,26,63,5,60,18,13,5,3,VLSI Engineer
Anirudh C. Krishnan,AI&DS,4,7.0,63,39,33,32,56,74,58,83,59,12,29,0,38,28,15,27,26,7,26,39,24,34,6,17,22,10,24,24,14,15,9,29,30,41,56,39,63,10,36,8,1,Cloud Engineer
Aarav S. Bhat,Mechanical,1,7.02,52,51,28,63,84,77,42,33,36,0,13,29,19,49,35,29,28,0,20,30,40,10,24,29,35,11,11,38,24,40,31,0,0,20,45,36,61,8,43,3,1,Full Stack Developer
Dev L. Kapoor,Data Science,3,6.95,80,21,41,40,70,43,85,72,60,47,20,34,23,22,21,32,36,11,28,32,14,33,9,16,45,25,0,44,30,21,12,34,20,51,54,20,53,21,41,5,2,Cloud Engineer
Ayush D. Chawla,CSE,2,7.12,73,79,68,22,17,55,73,13,27,28,15,11,0,9,15,15,36,25,36,24,19,32,32,25,30,37,0,15,6,34,77,10,15,54,32,80,68,29,43,4,1,ML Engineer
Ishaan R. Sen,Civil,2,7.21,84,40,23,38,44,21,5,23,39,95,84,62,64,31,73,5,28,7,2,17,4,18,30,29,78,72,93,91,65,27,27,20,5,53,59,53,74,20,55,2,1,IoT Engineer
Darshan H. Prasad,IT,3,7.23,81,70,96,13,55,79,70,27,28,4,50,36,19,34,35,5,0,5,53,37,20,19,18,30,33,22,36,35,15,19,81,43,38,25,60,56,57,21,34,8,1,ML Engineer
Lasya D. Ansari,AI,3,7.29,67,68,64,0,0,54,55,38,46,39,24,11,18,30,11,9,6,17,60,0,14,46,30,0,7,16,34,0,27,23,85,10,29,61,13,61,49,17,21,7,2,ML Engineer
Anika C. Menon,CSBS,3,7.21,71,74,32,75,63,63,49,56,16,16,20,13,29,12,8,5,18,37,26,18,33,30,50,34,11,36,17,19,0,21,15,14,5,52,80,58,52,18,39,4,2,Full Stack Developer
Nandini D. Shah,AI,3,6.97,72,67,21,13,68,67,56,72,50,1,17,16,17,11,30,23,0,6,3,41,12,27,37,27,21,18,0,26,22,38,23,23,3,69,47,42,75,44,21,7,2,Backend Developer
Kartikeya K. Singh,Mechanical,4,7.13,56,72,16,37,64,41,34,52,55,36,4,0,24,17,23,43,0,20,33,35,26,2,37,8,30,0,54,40,3,14,21,1,27,43,71,42,42,33,32,6,3,Cybersecurity Analyst
Nandini H. Satyanarayana,AI&DS,3,6.93,79,64,56,27,45,72,55,16,29,32,39,19,14,0,11,21,19,61,12,26,32,23,7,0,13,33,7,36,25,34,54,25,14,32,63,72,54,38,39,2,0,ML Engineer
Samarth B. Naidu,AI&DS,1,6.99,60,77,9,21,61,62,40,46,42,7,33,35,0,11,35,24,41,27,36,4,4,16,52,2,37,30,38,13,0,6,13,11,36,35,24,56,85,22,44,3,0,Backend Developer
Tarun L. Saha,CSBS,1,6.97,52,85,0,80,58,65,61,64,3,38,25,46,15,75,36,13,9,35,30,39,20,20,45,0,28,0,17,19,24,19,14,15,15,48,28,63,59,20,49,5,1,Full Stack Developer
Pranavi D. Mehta,Civil,2,7.24,65,12,8,17,6,35,25,3,50,74,77,59,49,60,52,56,59,49,25,60,76,10,43,47,12,29,14,15,37,21,20,19,39,52,58,26,32,23,17,3,2,Embedded Engineer
Priya P. Malhotra,CSBS,2,6.91,65,28,24,26,77,41,70,76,35,0,17,36,30,42,40,19,54,0,3,18,47,12,30,14,29,29,41,17,26,4,11,23,56,19,42,20,53,11,24,4,1,Cloud Engineer
Arjun S. Sharma,CSBS,3,6.94,67,46,62,61,38,81,65,35,34,25,38,33,30,34,17,42,10,13,26,34,23,37,14,29,18,29,8,33,30,32,82,19,9,45,53,46,48,17,45,6,3,ML Engineer
Sahana C. Prasad,EEE,4,7.04,63,60,12,49,53,46,48,64,70,47,5,29,42,14,19,36,29,33,29,40,0,7,25,0,19,10,14,23,46,23,12,4,0,60,96,53,65,31,39,8,2,Cybersecurity Analyst
Eesha M. Paul,Mechanical,3,7.26,66,37,13,25,39,32,48,24,38,82,75,44,48,1,65,23,23,10,39,25,26,32,12,7,68,86,85,54,77,18,41,42,1,37,87,25,55,15,16,6,2,IoT Engineer
Krishna A. Verma,Data Science,1,7.12,62,72,59,60,69,85,71,48,15,30,45,0,29,34,49,27,14,27,41,5,41,43,32,17,22,9,17,46,30,33,6,33,20,64,7,58,59,44,47,4,1,Full Stack Developer
Siddharth D. Pawar,CSBS,3,6.82,96,76,15,46,66,74,44,83,15,19,29,34,0,18,40,7,19,12,11,16,40,24,11,51,60,4,7,15,38,25,0,3,0,34,39,65,41,33,18,6,2,Full Stack Developer
Aparna Y. Varma,CSBS,3,7.24,87,7,27,9,35,26,8,31,51,77,76,47,19,30,22,27,0,25,24,49,28,48,10,7,47,42,45,42,18,79,57,68,100,77,72,28,70,43,12,5,3,Robotics Engineer
Riya L. Srinivasan,AI,2,6.46,64,67,78,32,24,85,45,33,29,0,30,45,17,44,16,29,9,30,13,16,16,0,0,30,30,13,25,19,21,30,65,14,29,24,74,44,49,28,16,6,1,ML Engineer
